Estado,Ano,Faixa_Etaria,Nascimentos,Total_Ano
Goiás,2019,35-39 anos,10934,96112
Goiás,2019,40-44 anos,2645,96112
Goiás,2019,Idade ignorada,1,96112
Goiás,2019,Outras idades,169,96112
Goiás,2020,10-14 anos,474,92768
Goiás,2020,15-19 anos,11730,92768
Goiás,2020,20-24 anos,23656,92768
Goiás,2020,25-29 anos,23875,92768
Goiás,2020,30-34 anos,19511,92768
Goiás,2020,35-39 anos,10782,92768
Goiás,2020,40-44 anos,2590,92768
Goiás,2020,Idade ignorada,1,92768
Goiás,2020,Outras idades,149,92768
Goiás,2021,10-14 anos,452,90961
Goiás,2021,15-19 anos,11376,90961
Goiás,2021,20-24 anos,23078,90961
Goiás,2021,25-29 anos,23709,90961
Goiás,2021,30-34 anos,18666,90961
Goiás,2021,35-39 anos,10776,90961
Goiás,2021,40-44 anos,2743,90961
Goiás,2021,Idade ignorada,1,90961
Goiás,2021,Outras idades,160,90961
Maranhão,2000,10-14 anos,1441,100811
Maranhão,2000,15-19 anos,30458,100811
Maranhão,2000,20-24 anos,36349,100811
Maranhão,2000,25-29 anos,17153,100811
Maranhão,2000,30-34 anos,8182,100811
Maranhão,2000,35-39 anos,3873,100811
Maranhão,2000,40-44 anos,1217,100811
Maranhão,2000,Idade ignorada,1973,100811
Maranhão,2000,Outras idades,165,100811
Maranhão,2010,10-14 anos,1832,119566
Maranhão,2010,15-19 anos,29683,119566
Maranhão,2010,20-24 anos,41050,119566
Maranhão,2010,25-29 anos,27148,119566
Maranhão,2010,30-34 anos,13085,119566
Maranhão,2010,35-39 anos,5132,119566
Maranhão,2010,40-44 anos,1468,119566
Maranhão,2010,Outras idades,168,119566
Maranhão,2016,10-14 anos,1634,110493
Maranhão,2016,15-19 anos,26523,110493
Maranhão,2016,20-24 anos,32539,110493
Maranhão,2016,25-29 anos,25275,110493
Maranhão,2016,30-34 anos,16179,110493
